V1,V2,V3,V4,V5,AName
6,10,0,1,5,寶桑里
6,11,0,1,5,民享里
6,12,0,1,5,重慶里
6,13,0,1,5,新富里
6,14,0,1,5,榮光里
6,15,0,1,5,盧厝里
7,1,0,1,5,賢庵里
7,2,0,2,5,芹壁村、坂里村、白沙村
1,0,0,1,6,榮華里
2,0,0,1,6,尖鹿里
3,0,0,1,6,庄美里
4,0,0,1,6,嘉民里
5,0,0,1,6,復興里
6,1,0,1,6,思源里
6,2,0,1,6,大竹村
6,3,0,1,6,十興里
6,4,0,1,6,營盤里
6,5,0,1,6,什股村
6,6,0,1,6,中山里
6,7,0,1,6,後安村
6,8,0,1,6,灣北村
6,9,0,1,6,春林村
6,10,0,1,6,民權里
6,11,0,1,6,民孝里
6,12,0,1,6,中興里
6,13,0,1,6,新豐里
6,14,0,1,6,中正里
6,15,0,1,6,文雅里
7,1,0,1,6,金水里
7,2,0,3,6,青帆村、田沃村、西坵村
1,0,0,1,7,裕民里
2,0,0,1,7,乾華里
3,0,0,1,7,新美里
4,0,0,1,7,菁豊里
5,0,0,1,7,拉芙蘭里
6,1,0,1,7,文化里
6,2,0,1,7,富竹村
6,3,0,1,7,斗崙里
6,4,0,1,7,聖福里
6,5,0,1,7,泉州村
6,6,0,1,7,敦和里
6,7,0,1,7,三盛村
6,8,0,1,7,雙涵村
6,9,0,1,7,過江村
6,10,0,1,7,四維里
6,11,0,1,7,民運里
6,12,0,1,7,光復里
6,13,0,1,7,平寮里
6,14,0,1,7,錦華里
6,15,0,1,7,王田里
7,1,0,1,7,古城里
7,2,0,3,7,福正村、大坪村
1,0,0,1,8,振華里
2,0,0,1,8,茂林里
3,0,0,1,8,岷山里
4,0,0,1,8,崁頂里
5,0,0,1,8,梅山里
6,1,0,1,8,神農里
6,2,0,1,8,大華村
6,3,0,1,8,北崙里
6,4,0,1,8,竹興里
6,5,0,1,8,泉厝村
6,6,0,1,8,山腳里
6,7,0,1,8,崙後村
6,8,0,1,8,塗師村
6,9,0,1,8,鐵店村
6,10,0,1,8,中華里
6,11,0,1,8,民政里
6,12,0,1,8,光明里
6,13,0,1,8,社寮里
6,14,0,1,8,文華里
6,15,0,1,8,長竹里
7,1,0,1,8,珠沙里
7,2,0,4,8,中柳村、樂華村
1,0,0,1,9,永和里
2,0,0,1,9,草里里
3,0,0,1,9,中山里
4,0,0,1,9,後廍里
6,1,0,1,9,民生里
6,2,0,1,9,蘆竹村
6,3,0,1,9,新崙里
6,4,0,1,9,龍山里
6,5,0,1,9,曾家村
6,6,0,1,9,新厝里
6,7,0,1,9,橋頭村
6,8,0,1,9,三義村
6,9,0,1,9,茄苳村
6,10,0,1,9,仁愛里
6,11,0,1,9,民立里
6,12,0,1,9,光榮里
6,13,0,1,9,和憲里
6,14,0,1,9,復中里
6,15,0,1,9,後庄里
5,0,0,2,9,達卡努瓦里
7,1,0,2,9,古寧村
1,0,0,1,10,永欣里
3,0,0,1,10,南陽里
4,0,0,1,10,墨林里
6,1,0,1,10,昇平里
6,2,0,1,10,南興村
6,3,0,1,10,竹北里
6,4,0,1,10,天文里
6,5,0,1,10,蚵寮村
6,6,0,1,10,上林里
6,7,0,1,10,新吉村
6,8,0,1,10,正義村
6,9,0,1,10,載興村
6,10,0,1,10,強國里
6,11,0,1,10,民樂里
6,12,0,1,10,朝陽里
6,13,0,1,10,海濱里
6,14,0,1,10,復興里
6,15,0,1,10,新店里
2,0,0,2,10,八賢里
5,0,0,2,10,瑪雅里
7,1,0,2,10,安美村
1,0,0,1,11,永明里
3,0,0,1,11,薰風里
4,0,0,1,11,菁寮里
6,1,0,1,11,大東里
6,2,0,1,11,南榮村
6,3,0,1,11,竹仁里
6,4,0,1,11,龍鳳里
6,5,0,1,11,新港村
6,6,0,1,11,碧峰里
6,7,0,1,11,施厝村
6,8,0,1,11,溪厝村
6,9,0,1,11,土庫村
6,10,0,1,11,大同里
6,11,0,1,11,民有里
6,12,0,1,11,陽明里
6,13,0,1,11,正濱里
6,14,0,1,11,三民里
6,15,0,1,11,圳頭里
2,0,0,2,11,埔頭里
5,0,0,2,11,南沙魯里
7,1,0,2,11,湖埔村
1,0,0,1,12,東華里
3,0,0,1,12,義和里
4,0,0,1,12,新嘉里
6,1,0,1,12,新興里
6,2,0,1,12,南崁村
6,3,0,1,12,福德里
6,4,0,1,12,山佳里
6,5,0,1,12,埤墘村
6,6,0,1,12,碧洲里
6,7,0,1,12,雷厝村
6,8,0,1,12,港美村
6,9,0,1,12,三廍村
6,10,0,1,12,成功里
6,11,0,1,12,民主里
6,12,0,1,12,重光里
6,13,0,1,12,中正里
6,14,0,1,12,東園里
6,15,0,1,12,中山里
2,0,0,2,12,古庄里
7,1,0,2,12,榜林村
5,0,0,3,12,東安里
1,0,0,1,13,吉利里
3,0,0,1,13,武陵里
4,0,0,1,13,頂長里
6,1,0,1,13,和睦里
6,2,0,1,13,錦興村
6,3,0,1,13,竹義里
6,4,0,1,13,佳興里
6,5,0,1,13,七嘉村
6,6,0,1,13,復興里
6,8,0,1,13,豐美村
6,9,0,1,13,中和村
6,10,0,1,13,建國里
6,11,0,1,13,民族里
6,12,0,1,13,西衛里
6,13,0,1,13,中濱里
6,14,0,1,13,公園里
6,15,0,1,13,太平里
2,0,0,2,13,新庄里
6,7,0,2,13,台西村
7,1,0,2,13,盤山村
5,0,0,3,13,西安里
1,0,0,1,14,吉慶里
3,0,0,1,14,文曲里
4,0,0,1,14,平安里
6,1,0,1,14,民權里
6,2,0,1,14,錦中村
6,3,0,1,14,泰和里
6,4,0,1,14,中港里
6,5,0,1,14,汴頭村
6,6,0,1,14,御史里
6,8,0,1,14,六斗村
6,9,0,1,14,瀰力村
6,10,0,1,14,中正里
6,11,0,1,14,民生里
6,12,0,1,14,西文里
6,13,0,1,14,建國里
6,14,0,1,14,建華里
6,15,0,1,14,東興里
2,0,0,2,14,埔坪里
6,7,0,2,14,海南村
7,1,0,2,14,后盤村
5,0,0,3,14,和安里
1,0,0,1,15,尊賢里
3,0,0,1,15,武曲里
4,0,0,1,15,仕安里
6,1,0,1,15,進士里
6,2,0,1,15,長興村
6,3,0,1,15,新社里
6,4,0,1,15,中華里
6,6,0,1,15,新豐里
6,8,0,1,15,崙陽村
6,10,0,1,15,中山里
6,11,0,1,15,主商里
6,12,0,1,15,東文里
6,13,0,1,15,砂灣里
6,14,0,1,15,東山里
6,15,0,1,15,華南里
2,0,0,2,15,茂長里
6,5,0,2,15,線西村
6,7,0,2,15,海北村
6,9,0,2,15,高樹村
5,0,0,3,15,大田里
7,1,0,3,15,林湖村
1,0,0,1,16,立賢里
3,0,0,1,16,文武里
4,0,0,1,16,竹新里
6,1,0,1,16,南橋里
6,2,0,1,16,五福村
6,3,0,1,16,新國里
6,4,0,1,16,中英里
6,6,0,1,16,新庄里
6,8,0,1,16,蘇厝村
6,10,0,1,16,興國里
6,11,0,1,16,主勤里
6,12,0,1,16,案山里
6,13,0,1,16,真砂里
6,14,0,1,16,綠水里
6,15,0,1,16,中央里
2,0,0,2,16,橫山里
6,5,0,2,16,頂庄村
6,7,0,2,16,海口村
6,9,0,2,16,長榮村
5,0,0,3,16,寶隆里
7,1,0,3,16,黃埔村
1,0,0,1,17,立農里
3,0,0,1,17,奉化里
4,0,0,1,17,新東里
6,1,0,1,17,建業里
6,2,0,1,17,羊稠村
6,3,0,1,17,聯興里
6,4,0,1,17,中美里
6,6,0,1,17,加老里
6,8,0,1,17,竹本村
6,10,0,1,17,鐵花里
6,11,0,1,17,主工里
6,12,0,1,17,光華里
6,13,0,1,17,正砂里
6,14,0,1,17,東勢里
6,15,0,1,17,朝陽里
2,0,0,2,17,錫板里
6,5,0,2,17,寓埔村
6,7,0,2,17,山寮村
6,9,0,2,17,東興村
5,0,0,3,17,關山里
7,1,0,3,17,西口村
1,0,0,1,18,八仙里
3,0,0,1,18,德化里
4,0,0,1,18,頂安里
6,1,0,1,18,南津里
6,2,0,1,18,營盤村
6,3,0,1,18,麻園里
6,4,0,1,18,開元里
6,6,0,1,18,石川里
6,8,0,1,18,永賢村
6,10,0,1,18,東海里
6,11,0,1,18,主信里
6,12,0,1,18,前寮里
6,13,0,1,18,中砂里
6,14,0,1,18,光復里
6,15,0,1,18,民族里
2,0,0,2,18,後厝里
6,5,0,2,18,塭仔村
6,7,0,2,18,溪頂村
6,9,0,2,18,東振村
5,0,0,3,18,小林里
7,1,0,3,18,上林村
1,0,0,1,19,洲美里
3,0,0,1,19,江南里
4,0,0,1,19,長安里
6,1,0,1,19,凱旋里
6,2,0,1,19,瓦窯村
6,3,0,1,19,溪州里
6,4,0,1,19,海口里
6,6,0,1,19,北投里
6,8,0,1,19,魚寮村
6,10,0,1,19,復國里
6,11,0,1,19,主義里、主睦里
6,12,0,1,19,石泉里
6,13,0,1,19,入船里
6,14,0,1,19,前溪里
6,15,0,1,19,過溝里
2,0,0,2,19,福德里
6,5,0,2,19,溝內村
6,7,0,2,19,牛厝村
6,9,0,2,19,源泉村
7,1,0,3,19,上岐村
5,0,0,4,19,新威里
1,0,0,1,20,奇岩里
3,0,0,1,20,頂店里
4,0,0,1,20,福安里
6,1,0,1,20,黎明里
6,2,0,1,20,內厝村
6,3,0,1,20,新庄里
6,4,0,1,20,港墘里
6,6,0,1,20,富寮里
6,8,0,1,20,潭墘村
6,10,0,1,20,復興里
6,11,0,1,20,主計里
6,12,0,1,20,菜園里
6,13,0,1,20,正船里
6,14,0,1,20,水源里
6,15,0,1,20,新開里
2,0,0,2,20,圓山里
6,5,0,2,20,下犁村
6,7,0,2,20,泉州村
6,9,0,2,20,建興村
5,0,0,4,20,新興里
7,1,0,4,20,大坵村
1,0,0,1,21,清江里
3,0,0,1,21,太白里
4,0,0,1,21,烏樹里
6,1,0,1,21,東村里
6,2,0,1,21,山鼻村
6,3,0,1,21,白地里
6,4,0,1,21,公舘里
6,6,0,1,21,北勢里
6,8,0,1,21,六腳村
6,10,0,1,21,新興里
6,11,0,1,21,主和里
6,12,0,1,21,東衛里
6,13,0,1,21,中船里
6,14,0,1,21,千甲里
6,15,0,1,21,宣信里
2,0,0,2,21,店子里
6,5,0,2,21,頂犁村
6,7,0,2,21,五榔村
6,9,0,2,21,大埔村
5,0,0,4,21,新寮里
7,1,0,4,21,小坵村
1,0,0,1,22,中央里
3,0,0,1,22,孟春里
6,1,0,1,22,延平里
6,2,0,1,22,山腳村
6,3,0,1,22,新港里
6,4,0,1,22,大埔里
6,6,0,1,22,中原里
6,8,0,1,22,六南村
6,10,0,1,22,新生里
6,11,0,1,22,主學里
