ANameE,Year,Votes,Party
New Taipei City,2016,709374,KMT
Kaohsiung City,2016,391823,KMT
Taipei City,2016,546491,KMT
Taichung City,2016,430005,KMT
Taoyuan County,2016,369013,KMT
Tainan City,2016,219196,KMT
Changhua County,2016,193117,KMT
Pingtung County,2016,121291,KMT
Yunlin County,2016,86047,KMT
Miaoli County,2016,107779,KMT
Chiayi County,2016,65425,KMT
Hsinchu County,2016,94603,KMT
Nantou County,2016,83604,KMT
Yilan County,2016,59216,KMT
Hsinchu City,2016,71771,KMT
Keelung City,2016,68357,KMT
Hualien County,2016,73894,KMT
Chiayi City,2016,38822,KMT
Taitung County,2016,43581,KMT
Penghu County,2016,12564,KMT
Jinmen County,2016,24327,KMT
Lianjiang County,2016,3065,KMT
National,2016,1576861,PeoplesFirstParty
New Taipei City,2016,252486,PeoplesFirstParty
Kaohsiung City,2016,159765,PeoplesFirstParty
Taipei City,2016,153804,PeoplesFirstParty
Taichung City,2016,218810,PeoplesFirstParty
Taoyuan County,2016,156518,PeoplesFirstParty
Tainan City,2016,103432,PeoplesFirstParty
Changhua County,2016,98807,PeoplesFirstParty
Pingtung County,2016,42768,PeoplesFirstParty
Yunlin County,2016,40236,PeoplesFirstParty
Miaoli County,2016,48788,PeoplesFirstParty
Chiayi County,2016,31469,PeoplesFirstParty
Hsinchu County,2016,59510,PeoplesFirstParty
Nantou County,2016,40868,PeoplesFirstParty
Yilan County,2016,29288,PeoplesFirstParty
Hsinchu City,2016,36198,PeoplesFirstParty
Keelung City,2016,31955,PeoplesFirstParty
Hualien County,2016,23751,PeoplesFirstParty
Chiayi City,2016,16926,PeoplesFirstParty
Taitung County,2016,16565,PeoplesFirstParty
Penghu County,2016,8401,PeoplesFirstParty
Jinmen County,2016,5852,PeoplesFirstParty
Lianjiang County,2016,664,PeoplesFirstParty
National,2016,6894744,DPP
New Taipei City,2016,1165888,DPP
Kaohsiung City,2016,955168,DPP
Taipei City,2016,757383,DPP
Taichung City,2016,793281,DPP
Taoyuan County,2016,547573,DPP
Tainan City,2016,670608,DPP
Changhua County,2016,378736,DPP
Pingtung County,2016,285297,DPP
Yunlin County,2016,218842,DPP
Miaoli County,2016,130461,DPP
Chiayi County,2016,182913,DPP
Hsinchu County,2016,114023,DPP
Nantou County,2016,136104,DPP
Yilan County,2016,144798,DPP
Hsinchu City,2016,113386,DPP
Keelung City,2016,93402,DPP
Hualien County,2016,57198,DPP
Chiayi City,2016,83143,DPP
Taitung County,2016,37517,DPP
Penghu County,2016,21658,DPP
Jinmen County,2016,6626,DPP
Lianjiang County,2016,739,DPP
